date,montant,type_transaction,id_client,region,frequence_transaction,souscrit_offre
2040-08-02,4250,dépôt,86,Abidjan,25,0
2041-06-19,567,dépôt,27,San-Pédro,24,1
2028-01-25,5923,dépôt,161,Bouaké,8,0
2037-10-16,1532,retrait,7,San-Pédro,13,0
2027-08-05,9618,dépôt,193,Yamoussoukro,14,0
2028-01-10,863,paiement,38,Abidjan,28,0
2042-06-21,5848,retrait,173,Abidjan,28,0
2036-07-23,4241,dépôt,84,Yamoussoukro,7,0
2035-11-18,8528,dépôt,96,San-Pédro,9,0
2037-03-27,5006,retrait,29,Bouaké,16,0
2024-04-02,6591,dépôt,139,Abidjan,18,0
2035-09-22,2150,paiement,106,Yamoussoukro,7,1
2040-10-25,5906,dépôt,59,Abidjan,11,0
2031-09-18,3854,dépôt,49,Abidjan,25,0
2037-08-12,5759,dépôt,87,San-Pédro,10,0
2028-04-29,2838,dépôt,12,Bouaké,26,1
2039-10-08,9323,paiement,51,Abidjan,24,0
2031-12-08,8561,dépôt,32,San-Pédro,23,0
2040-11-09,9006,paiement,9,Yamoussoukro,14,0
2040-11-08,7324,dépôt,139,Abidjan,16,0
2041-05-08,6243,dépôt,119,Bouaké,13,1
2031-03-08,5726,paiement,4,Yamoussoukro,15,0
2042-03-22,2442,dépôt,167,Abidjan,18,0
2027-03-31,125,retrait,38,Abidjan,14,0
2028-12-04,4712,dépôt,19,Bouaké,11,0
2024-08-09,8044,paiement,77,San-Pédro,29,0
2029-08-02,3849,retrait,189,Abidjan,27,0
2041-08-14,2640,dépôt,139,Bouaké,23,1
2032-05-21,120,retrait,23,Yamoussoukro,20,0
2030-02-22,5748,retrait,169,San-Pédro,6,0
2033-01-04,8496,paiement,176,San-Pédro,13,0
2031-10-20,6160,dépôt,119,San-Pédro,22,0
2032-09-04,1576,dépôt,174,Yamoussoukro,21,1
2031-12-31,5518,dépôt,73,Bouaké,25,1
2028-09-11,4248,paiement,19,Bouaké,3,1
2042-01-16,2646,dépôt,152,Bouaké,6,1
2040-10-05,5186,paiement,3,Yamoussoukro,26,0
2024-10-09,3007,dépôt,20,Yamoussoukro,2,0
2023-08-11,4066,dépôt,103,Yamoussoukro,7,1
2041-11-11,2151,dépôt,57,San-Pédro,16,1
2044-01-09,2421,paiement,146,Yamoussoukro,20,1
2023-01-24,4921,paiement,167,Bouaké,19,0
2028-03-20,1681,retrait,41,Yamoussoukro,3,1
2034-03-02,2092,retrait,3,Bouaké,17,0
2027-04-04,6761,retrait,167,Abidjan,10,0
2038-09-02,2558,retrait,100,San-Pédro,24,0
2037-04-01,506,paiement,114,Yamoussoukro,6,0
2044-01-31,1043,paiement,133,Yamoussoukro,25,1
2038-12-28,4685,paiement,13,Abidjan,19,1
2036-07-16,2943,paiement,92,Bouaké,22,0
2026-11-08,5206,retrait,12,Yamoussoukro,4,0
2023-03-07,7673,dépôt,100,San-Pédro,26,1
2040-05-11,2551,retrait,150,Abidjan,12,0
2025-11-10,2520,dépôt,90,Yamoussoukro,15,0
2041-04-24,2588,paiement,172,Bouaké,1,0
2044-09-11,9569,paiement,177,Abidjan,27,0
2035-12-27,5897,retrait,174,San-Pédro,11,0
2028-07-24,689,paiement,161,Yamoussoukro,21,1
2038-12-12,8583,dépôt,91,San-Pédro,20,0
2037-05-11,9237,retrait,183,Abidjan,6,0
2036-10-15,6610,dépôt,181,San-Pédro,5,0
2024-07-08,8924,dépôt,17,Yamoussoukro,17,0
2043-01-07,2617,dépôt,179,Yamoussoukro,19,0
2035-01-12,2497,dépôt,186,Abidjan,23,0
2037-10-08,9163,paiement,177,Abidjan,28,1
2032-09-05,5025,dépôt,189,Abidjan,15,0
2027-08-27,440,paiement,153,Bouaké,19,0
2041-06-01,1007,dépôt,48,Yamoussoukro,9,0
2025-11-21,1489,dépôt,50,San-Pédro,13,0
2026-11-07,5239,retrait,15,Abidjan,29,0
2033-04-25,6943,paiement,4,Abidjan,4,1
2024-08-24,4372,paiement,48,San-Pédro,23,0
2026-10-15,9790,paiement,62,San-Pédro,13,1
2032-02-15,9248,dépôt,150,Yamoussoukro,20,1
2028-10-19,2443,dépôt,104,San-Pédro,23,0
2034-10-29,9695,dépôt,9,San-Pédro,7,0
2028-03-27,2353,retrait,128,Abidjan,23,0
2033-02-01,6076,retrait,100,Abidjan,13,0
2043-10-05,4838,dépôt,31,San-Pédro,11,0
2036-03-06,1922,paiement,149,San-Pédro,16,0
2027-10-07,2289,dépôt,147,Abidjan,9,0
2036-10-18,2867,retrait,97,Yamoussoukro,21,0
2025-07-16,8075,dépôt,16,Abidjan,19,1
2037-01-25,7001,retrait,159,San-Pédro,22,0
2032-10-18,3189,paiement,146,Yamoussoukro,9,1
2035-03-01,4907,paiement,150,Bouaké,25,0
2043-06-17,3031,paiement,144,Yamoussoukro,4,1
2042-07-08,2333,paiement,160,Abidjan,17,0
2023-08-28,4299,retrait,179,Bouaké,26,1
2031-02-14,7929,dépôt,125,Abidjan,16,0
2032-09-12,1355,dépôt,80,San-Pédro,27,1
2039-12-29,5325,paiement,195,San-Pédro,18,0
2031-10-16,3615,paiement,56,San-Pédro,11,0
2023-04-12,3512,retrait,199,Yamoussoukro,10,0
2023-11-15,6215,dépôt,186,Bouaké,16,1
2035-07-18,5145,paiement,197,Abidjan,3,0
2031-09-23,1081,paiement,189,Yamoussoukro,17,0
2024-06-17,9575,retrait,17,Bouaké,4,0
2025-01-07,5690,retrait,25,Bouaké,16,1
2026-05-29,9478,paiement,8,Yamoussoukro,18,1
2026-02-16,4097,paiement,178,San-Pédro,11,1
2034-11-26,9347,retrait,66,Abidjan,29,1
2042-12-14,5319,dépôt,189,Yamoussoukro,1,1
2040-11-13,4913,retrait,169,Bouaké,22,0
2026-08-21,6709,paiement,120,San-Pédro,28,0
2042-06-07,9883,paiement,72,Abidjan,10,0
2041-02-08,8659,dépôt,100,San-Pédro,4,0
2028-04-12,9746,paiement,140,Yamoussoukro,4,1
2036-09-13,4131,retrait,106,Bouaké,19,0
2024-05-11,6108,paiement,106,Abidjan,14,0
2043-08-28,155,paiement,5,Bouaké,3,0
2030-08-03,6031,retrait,92,Bouaké,1,0
2024-04-17,2633,dépôt,46,Yamoussoukro,5,0
2036-10-29,2232,dépôt,27,San-Pédro,15,0
2034-02-28,2338,retrait,148,Yamoussoukro,26,1
2033-09-21,9294,dépôt,90,Bouaké,2,1
2024-06-28,2516,paiement,58,Yamoussoukro,24,0
2034-06-08,1494,retrait,137,San-Pédro,20,1
2026-05-27,9797,retrait,41,Yamoussoukro,9,0
2043-01-26,1947,retrait,102,Abidjan,8,0
2038-03-01,9042,dépôt,84,Bouaké,8,0
2023-12-01,1569,dépôt,69,Abidjan,27,0
2042-07-12,3490,dépôt,150,Abidjan,26,0
2026-08-08,5275,retrait,125,Abidjan,11,0
2028-04-03,4911,paiement,42,Yamoussoukro,17,0
2028-12-24,8170,dépôt,123,Yamoussoukro,28,0
2033-07-28,6101,retrait,177,Yamoussoukro,24,0
2043-04-15,4539,dépôt,158,San-Pédro,8,0
2035-09-20,1724,paiement,115,Abidjan,28,0
2023-05-13,7093,retrait,178,Abidjan,5,0
2033-11-04,4226,retrait,35,Bouaké,20,0
2040-05-22,8037,dépôt,167,Yamoussoukro,17,1
2029-02-23,8296,paiement,190,San-Pédro,13,0
2024-06-24,4427,paiement,184,Bouaké,26,0
2039-10-30,1212,dépôt,53,Bouaké,29,0
2028-07-22,8257,dépôt,61,Yamoussoukro,2,0
2023-02-07,4206,paiement,192,Bouaké,11,1
2043-11-28,9043,retrait,52,Yamoussoukro,5,0
2043-09-26,8110,retrait,125,Bouaké,7,0
2028-07-11,4110,retrait,93,Bouaké,22,0
2028-10-12,8600,dépôt,163,Abidjan,20,0
2029-07-30,1269,retrait,37,Yamoussoukro,1,1
2025-01-18,4091,dépôt,55,San-Pédro,14,1
2043-09-20,4230,retrait,93,Yamoussoukro,15,0
2029-09-22,3808,paiement,43,San-Pédro,20,1
2043-07-27,4741,retrait,45,Yamoussoukro,3,0
2029-06-02,3597,retrait,94,Bouaké,25,1
2023-04-06,2563,paiement,157,Yamoussoukro,20,0
2040-02-12,2844,dépôt,167,San-Pédro,9,0
2044-07-13,5375,dépôt,2,San-Pédro,10,0
2037-04-20,1818,retrait,183,Bouaké,25,0
2028-10-15,7096,dépôt,198,San-Pédro,14,0
2030-01-30,4520,paiement,183,San-Pédro,6,0
2037-03-26,3320,paiement,163,San-Pédro,18,0
2032-06-01,5410,retrait,116,Bouaké,22,0
2032-09-24,1635,paiement,108,Abidjan,3,0
2024-03-29,6561,retrait,183,Abidjan,27,0
2041-01-10,5795,retrait,125,Bouaké,16,0
2030-09-13,2368,retrait,168,Abidjan,4,0
2030-10-07,6437,paiement,84,Abidjan,13,1
2023-09-09,4982,paiement,141,San-Pédro,9,1
2041-03-02,2170,paiement,131,Abidjan,6,0
2025-10-19,4944,retrait,170,San-Pédro,23,0
2043-12-09,3393,paiement,70,Yamoussoukro,20,0
2025-10-07,445,retrait,4,Abidjan,25,1
2035-09-24,8497,retrait,13,Abidjan,9,0
2039-06-07,5062,paiement,68,Yamoussoukro,9,0
2027-07-31,6708,paiement,13,Abidjan,19,0
2024-09-17,6239,paiement,151,Yamoussoukro,29,1
2044-05-03,1430,retrait,61,Yamoussoukro,10,0
2028-10-11,8067,dépôt,65,San-Pédro,13,0
2027-01-05,2804,paiement,193,San-Pédro,23,0
2043-08-13,134,retrait,189,Bouaké,4,0
2035-12-18,7736,retrait,21,Bouaké,27,0
2034-09-06,3292,dépôt,21,Abidjan,24,0
2031-06-19,2928,paiement,32,San-Pédro,5,0
2042-02-02,9001,paiement,189,Abidjan,21,1
2028-03-03,3211,dépôt,92,Yamoussoukro,13,1
2027-05-28,6538,dépôt,85,Bouaké,18,0
2027-10-11,6186,paiement,65,Bouaké,5,0
2023-06-07,4802,paiement,59,Abidjan,28,0
2029-09-05,7656,paiement,151,Bouaké,29,0
2029-01-08,8600,retrait,159,Yamoussoukro,29,1
2031-06-22,927,dépôt,173,Bouaké,16,0
2040-01-05,8889,paiement,29,San-Pédro,17,1
2024-05-18,128,paiement,98,Yamoussoukro,27,1
2039-12-09,6194,dépôt,64,Bouaké,24,0
2023-11-12,1123,paiement,198,Abidjan,22,0
2024-12-11,4239,dépôt,33,San-Pédro,29,1
2033-11-12,4544,dépôt,194,San-Pédro,11,1
2034-06-06,3144,retrait,57,Bouaké,12,0
2033-03-06,7956,dépôt,112,Bouaké,7,0
2042-05-23,9458,paiement,189,San-Pédro,21,1
2025-05-06,8681,paiement,170,Abidjan,9,0
2032-02-05,8338,dépôt,169,Bouaké,1,0
2036-09-11,1644,retrait,139,Bouaké,2,0
2030-04-10,2667,retrait,16,Yamoussoukro,26,1
2023-11-16,2666,retrait,47,San-Pédro,11,0
2024-03-05,9957,paiement,88,Bouaké,29,1
2025-10-15,8508,retrait,46,San-Pédro,5,1
2026-11-27,3011,dépôt,6,Bouaké,17,1
2044-09-29,7185,paiement,24,San-Pédro,22,0
2033-02-20,9925,paiement,99,Bouaké,8,1
2040-11-30,7796,paiement,164,San-Pédro,13,1
2028-10-08,2357,paiement,97,Abidjan,21,0
2042-07-25,9952,retrait,91,Abidjan,17,0
2041-01-31,8691,dépôt,20,Bouaké,26,0
2043-08-14,3349,dépôt,195,Yamoussoukro,21,0
2044-11-04,3043,paiement,48,Yamoussoukro,28,0
2044-10-01,7443,retrait,159,San-Pédro,27,0
2026-04-08,8982,retrait,54,San-Pédro,6,0
2040-05-28,4191,dépôt,131,Abidjan,13,0
2034-04-06,8631,retrait,177,Abidjan,25,0
2038-09-19,5156,paiement,81,San-Pédro,21,0
2028-01-15,7527,paiement,172,Bouaké,1,0
2029-12-09,2159,retrait,191,Bouaké,18,0
2028-02-06,1844,retrait,28,San-Pédro,20,0
2038-12-24,7645,paiement,106,Abidjan,2,0
2044-04-13,1489,paiement,129,San-Pédro,16,0
2041-05-05,8374,retrait,116,Abidjan,25,0
2031-05-04,2045,dépôt,107,San-Pédro,8,0
2030-03-13,9928,retrait,153,San-Pédro,16,1
2034-07-30,4020,paiement,65,San-Pédro,28,1
2039-08-05,2673,retrait,172,Bouaké,22,0
2034-07-31,9000,paiement,9,San-Pédro,9,0
2026-07-05,5192,dépôt,106,Yamoussoukro,23,1
2044-03-11,3828,paiement,39,Yamoussoukro,10,0
2042-12-15,8758,retrait,154,San-Pédro,19,0
2038-01-24,9327,paiement,99,Bouaké,7,0
2034-07-22,8127,paiement,25,San-Pédro,12,0
2035-06-12,9188,paiement,55,Abidjan,24,0
2044-01-29,7400,paiement,135,Bouaké,2,0
2025-01-13,7271,retrait,23,Bouaké,15,0
2038-02-19,931,retrait,4,San-Pédro,16,1
2029-02-11,6048,retrait,26,San-Pédro,26,0
2035-05-02,5727,paiement,62,San-Pédro,28,0
2040-02-07,1549,retrait,42,Bouaké,18,1
2039-09-10,9694,dépôt,49,Abidjan,18,0
2044-04-10,9369,dépôt,101,Yamoussoukro,25,0
2037-06-13,6103,paiement,41,San-Pédro,6,0
2032-11-24,3019,retrait,168,Bouaké,21,1
2036-02-11,3376,dépôt,187,Abidjan,28,0
2043-07-11,2277,retrait,126,Yamoussoukro,14,0
2030-05-21,9722,dépôt,190,Abidjan,9,1
2027-08-29,9571,retrait,143,Abidjan,16,0
2025-09-23,2380,paiement,163,Bouaké,17,0
2034-01-21,5159,retrait,189,Yamoussoukro,24,0
2035-10-02,477,paiement,162,Bouaké,5,0
2044-08-24,2192,dépôt,199,Bouaké,19,0
2035-12-01,6261,paiement,32,Bouaké,6,0
2035-11-29,2175,dépôt,15,Bouaké,1,0
2032-07-14,2026,retrait,128,San-Pédro,15,0
2040-06-09,3367,paiement,54,Abidjan,17,0
2039-02-19,4206,paiement,165,Abidjan,11,0
2037-02-02,729,dépôt,145,Bouaké,25,0
2025-12-20,2270,dépôt,117,Yamoussoukro,11,1
2029-03-16,5810,dépôt,189,San-Pédro,6,0
2028-04-06,1672,dépôt,72,Bouaké,25,0
2042-10-11,3490,retrait,24,Abidjan,2,1
2025-11-12,5140,dépôt,126,Bouaké,19,1
2026-09-08,7428,retrait,135,San-Pédro,1,0
2039-03-20,4811,retrait,164,San-Pédro,3,0
2026-03-22,4670,paiement,44,Bouaké,19,1
2040-03-14,8160,paiement,122,Abidjan,6,0
2042-04-07,5027,paiement,28,Abidjan,15,1
2039-08-28,2461,retrait,28,San-Pédro,12,0
2039-03-12,859,paiement,139,San-Pédro,14,0
2036-03-31,1219,retrait,138,Yamoussoukro,16,0
2026-11-22,4436,dépôt,95,San-Pédro,28,0
2039-08-20,3090,dépôt,28,San-Pédro,2,0
2034-05-12,1611,dépôt,65,Bouaké,10,0
2038-10-24,5958,retrait,151,San-Pédro,27,0
2025-06-27,688,paiement,93,Bouaké,11,0
2030-12-23,2540,retrait,52,Bouaké,16,0
2041-10-04,702,retrait,8,Abidjan,27,1
2028-05-26,5139,dépôt,98,Yamoussoukro,3,0
2040-11-14,7521,paiement,45,San-Pédro,25,0
2044-09-05,3150,dépôt,71,San-Pédro,20,1
2033-03-22,9839,retrait,98,San-Pédro,25,0
2024-01-29,7178,paiement,25,Abidjan,6,0
2024-11-14,4764,paiement,61,San-Pédro,11,0
2023-08-19,2083,paiement,65,Yamoussoukro,20,0
2044-10-04,8787,retrait,73,Abidjan,20,0
2026-12-01,9656,dépôt,25,San-Pédro,10,0
2024-11-07,7561,dépôt,131,San-Pédro,10,0
2040-09-11,6954,retrait,123,San-Pédro,12,0
2028-11-08,8875,dépôt,72,Bouaké,26,0
2041-12-18,630,dépôt,111,Yamoussoukro,3,0
2023-02-03,8356,dépôt,130,Yamoussoukro,2,1
2030-09-08,2667,dépôt,29,San-Pédro,18,0
2025-08-15,2754,paiement,49,Yamoussoukro,16,0
2044-07-20,2932,retrait,167,San-Pédro,21,0
2040-05-13,9060,paiement,104,Abidjan,27,0
2027-06-21,3526,dépôt,4,San-Pédro,12,1
2043-04-23,8725,dépôt,143,Yamoussoukro,14,0
2034-09-02,6056,dépôt,97,Abidjan,16,0
2029-02-01,4714,paiement,191,Bouaké,29,0
2032-04-01,3494,retrait,156,Yamoussoukro,23,0
2042-08-08,8701,paiement,143,Yamoussoukro,28,1
2023-03-03,6648,paiement,188,Bouaké,26,0
2035-07-07,9931,paiement,65,Abidjan,1,0
2027-12-13,6426,paiement,106,Abidjan,13,0
2026-07-01,7945,dépôt,1,San-Pédro,18,0
2043-08-18,6205,paiement,19,San-Pédro,15,0
2032-08-16,700,paiement,7,San-Pédro,6,1
2023-11-29,8869,retrait,34,San-Pédro,23,1
2039-08-17,7648,paiement,6,San-Pédro,7,0
2029-07-03,2464,retrait,199,Yamoussoukro,27,0
2042-08-20,8376,retrait,187,San-Pédro,2,0
2026-06-15,9545,retrait,150,Yamoussoukro,27,0
2038-05-09,1505,retrait,25,Yamoussoukro,25,1
2037-07-09,5580,retrait,76,San-Pédro,27,0
2038-05-29,784,retrait,84,Yamoussoukro,17,0
2025-01-06,7256,dépôt,9,Yamoussoukro,11,1
2040-07-25,8785,retrait,118,Abidjan,14,1
2039-09-02,3080,dépôt,160,Yamoussoukro,16,0
2030-12-07,2332,dépôt,150,Bouaké,11,0
2031-11-19,3410,paiement,93,Bouaké,13,1
2037-09-08,1824,retrait,92,Abidjan,7,0
2032-01-02,321,paiement,77,Bouaké,3,0
2040-09-07,5931,retrait,3,San-Pédro,2,0
2042-12-11,7836,dépôt,30,Yamoussoukro,21,0
2040-08-28,2833,retrait,199,San-Pédro,23,0
2032-01-13,9148,paiement,105,Yamoussoukro,26,0
2029-10-09,3528,paiement,151,Bouaké,19,0
2029-04-25,7398,dépôt,127,Abidjan,8,0
2026-10-06,905,dépôt,101,Abidjan,6,0
2039-11-24,6903,paiement,186,Yamoussoukro,5,0
2044-03-12,2710,dépôt,110,Abidjan,23,0
2044-08-11,6365,paiement,140,Bouaké,7,0
2030-02-11,9037,paiement,75,Yamoussoukro,16,0
2032-05-22,5109,paiement,74,San-Pédro,19,0
2030-02-16,8973,paiement,143,San-Pédro,24,0
2033-08-13,2248,paiement,26,Abidjan,3,0
2044-07-12,8630,retrait,80,San-Pédro,8,1
2041-01-01,2348,retrait,186,Yamoussoukro,19,0
2042-06-27,4717,retrait,112,San-Pédro,1,0
2025-12-14,9433,paiement,122,Bouaké,19,1
2032-08-21,5772,dépôt,192,Yamoussoukro,2,1
2026-03-09,4668,paiement,165,Yamoussoukro,1,0
2041-01-03,955,retrait,33,Bouaké,29,1
2033-06-29,1869,retrait,12,San-Pédro,1,0
2037-11-24,1024,retrait,80,Yamoussoukro,8,0
2023-03-21,3892,dépôt,79,Yamoussoukro,22,1
2030-01-29,2787,retrait,61,Yamoussoukro,29,0
2041-11-28,5250,dépôt,51,San-Pédro,23,0
2041-08-30,5047,dépôt,23,San-Pédro,15,1
2035-05-07,5020,paiement,137,Yamoussoukro,9,1
2042-08-14,7672,dépôt,121,Abidjan,7,0
2039-03-23,8111,paiement,153,San-Pédro,5,0
2035-08-01,3057,dépôt,67,Bouaké,28,0
2027-11-26,1035,paiement,79,Yamoussoukro,20,1
2027-11-22,3550,retrait,5,Bouaké,11,0
2027-04-19,1829,retrait,48,San-Pédro,5,1
2027-10-04,9274,retrait,102,Yamoussoukro,19,0
2029-03-01,2278,paiement,70,Bouaké,12,0
2036-05-20,8546,paiement,18,Yamoussoukro,11,0
2025-10-22,1511,retrait,82,San-Pédro,9,0
2028-05-08,9916,dépôt,81,Abidjan,4,0
2032-11-21,6008,retrait,10,Abidjan,8,1
2027-04-12,3522,paiement,38,Bouaké,9,0
2038-10-26,4343,dépôt,157,San-Pédro,9,1
2040-03-21,6333,dépôt,92,San-Pédro,3,0
2043-06-11,7380,paiement,93,Yamoussoukro,17,0
2026-08-23,1649,paiement,174,Abidjan,15,1
2041-07-07,7517,paiement,27,Bouaké,25,0
2044-07-27,6760,retrait,51,Bouaké,20,0
2038-09-01,5185,retrait,118,Abidjan,26,0
2028-07-13,1926,paiement,86,Bouaké,6,1
2023-05-30,2880,paiement,4,Yamoussoukro,6,1
2037-08-02,7227,dépôt,132,Yamoussoukro,16,0
2037-02-11,6041,dépôt,164,San-Pédro,15,0
2044-04-25,8254,paiement,10,Bouaké,18,0
2027-09-29,3469,paiement,122,Abidjan,21,0
2025-08-28,6127,dépôt,135,San-Pédro,20,0
2029-05-27,5562,paiement,74,San-Pédro,15,0
2026-06-17,5193,retrait,115,Bouaké,9,0
2023-06-19,7265,dépôt,13,San-Pédro,15,0
2035-06-17,9542,retrait,53,Abidjan,7,1
2027-02-24,7648,paiement,15,Yamoussoukro,6,0
2030-10-30,8715,retrait,24,Abidjan,24,0
2027-01-19,6228,paiement,95,Abidjan,9,0
2027-06-04,5203,paiement,64,Abidjan,22,0
2030-01-18,3597,dépôt,191,Yamoussoukro,13,1
2038-11-20,7381,retrait,133,Bouaké,1,0
2036-06-06,3017,retrait,22,San-Pédro,22,1
2030-01-23,3297,paiement,159,Abidjan,20,0
2034-08-19,4064,paiement,176,San-Pédro,24,1
